Frame,EAR,Blinks,Blink_STD,Pupil_Delta,Gaze_Instability,AU_Score,AU_StressPoints,Stress_Score
203,0.44,5,1.21,0.15,2.8643,0.00,0.0,0
204,0.47,5,1.21,0.15,2.8594,0.00,0.0,0
205,0.44,5,1.21,0.15,2.8544,0.00,0.0,0
206,0.34,5,1.21,0.15,2.8476,0.00,0.0,0
207,0.32,5,1.21,0.15,2.8411,0.00,0.0,0
208,0.13,6,1.52,0.15,2.8349,0.00,0.0,0
209,0.10,6,1.52,0.15,2.8304,0.00,0.0,0
210,0.12,6,1.52,0.15,2.8282,0.00,0.0,0
211,0.27,6,1.52,0.15,2.8279,0.00,0.0,0
212,0.27,6,1.52,0.15,2.8256,0.00,0.0,0
213,0.19,7,1.54,0.15,2.8273,0.00,0.0,0
214,0.24,7,1.54,0.15,2.8465,0.00,0.0,0
215,0.25,7,1.54,0.15,2.8578,0.64,0.0,0
216,0.24,7,1.54,0.15,2.8604,0.64,0.0,0
217,0.27,7,1.54,0.15,2.8585,0.64,0.0,0
218,0.29,7,1.54,0.15,2.8552,0.64,0.0,0
219,0.26,7,1.54,0.15,2.8491,0.64,0.0,0
220,0.09,8,1.49,0.15,2.8450,0.64,0.0,0
221,0.11,8,1.49,0.15,2.8597,0.64,0.0,0
222,0.17,8,1.49,0.15,2.8715,0.64,0.0,0
223,0.28,8,1.49,0.15,2.8806,0.64,0.0,0
224,0.36,8,1.49,0.17,2.9080,0.64,0.0,0
225,0.36,8,1.49,0.17,2.9343,0.64,0.0,0
226,0.35,8,1.49,0.17,2.9481,0.64,0.0,0
227,0.36,8,1.49,0.17,2.9617,0.64,0.0,0
228,0.34,8,1.49,0.17,2.9767,0.64,0.0,0
229,0.37,8,1.49,0.17,2.9909,0.64,0.0,0
230,0.33,8,1.49,0.17,3.0045,0.64,0.0,0
231,0.32,8,1.49,0.17,3.0197,0.64,0.0,0
232,0.30,8,1.49,0.17,3.0352,0.64,0.0,0
233,0.30,8,1.49,0.17,3.0504,0.64,0.0,0
234,0.33,8,1.49,0.17,3.0660,0.64,0.0,0
235,0.33,8,1.49,0.17,3.0803,0.63,0.0,0
236,0.32,8,1.49,0.17,3.0900,0.63,0.0,0
237,0.29,8,1.49,0.17,3.0970,0.63,0.0,0
238,0.25,8,1.49,0.17,3.1037,0.63,0.0,0
239,0.33,8,1.49,0.17,3.1126,0.63,0.0,0
240,0.30,8,1.49,0.17,3.1277,0.63,0.0,0
241,0.33,8,1.49,0.17,3.1542,0.63,0.0,0
242,0.31,8,1.49,0.17,3.1725,0.63,0.0,0
243,0.28,8,1.49,0.17,3.1900,0.63,0.0,0
244,0.30,8,1.49,0.17,3.2073,0.63,0.0,0
245,0.22,8,1.49,0.17,3.2191,0.63,0.0,0
246,0.03,9,1.40,0.17,3.2354,0.63,0.0,0
247,0.04,9,1.40,0.17,3.2450,0.63,0.0,0
248,0.19,9,1.40,0.17,3.2443,0.63,0.0,0
249,0.27,9,1.40,0.17,3.2425,0.63,0.0,0
250,0.28,9,1.40,0.17,3.2411,0.63,0.0,0
251,0.29,9,1.40,0.17,3.2405,0.63,0.0,0
252,0.31,9,1.40,0.17,3.2417,0.63,0.0,0
253,0.30,9,1.40,0.17,3.2449,0.63,0.0,0
254,0.29,9,1.40,0.17,3.2490,0.63,0.0,0
255,0.31,9,1.40,0.17,3.2538,0.63,0.0,0
256,0.33,9,1.40,0.17,3.2603,0.63,0.0,0
257,0.32,9,1.40,0.17,3.2674,1.12,2.7,3
258,0.31,9,1.40,0.17,3.2788,1.12,2.7,3
259,0.31,9,1.40,0.17,3.2905,1.12,2.7,3
260,0.31,9,1.40,0.17,3.3011,1.12,2.7,3
261,0.32,9,1.40,0.17,3.3113,1.12,2.7,3
262,0.34,9,1.40,0.17,3.3202,1.12,2.7,3
263,0.33,9,1.40,0.17,3.3292,1.12,2.7,3
264,0.24,9,1.40,0.17,3.3363,1.12,2.7,3
265,0.17,10,1.32,0.17,3.3409,1.12,2.7,3
266,0.30,10,1.32,0.17,3.3459,1.12,2.7,3
267,0.31,10,1.32,0.17,3.3507,1.12,2.7,3
268,0.33,10,1.32,0.17,3.3516,1.12,2.7,3
269,0.18,11,1.31,0.17,3.3505,1.12,2.7,3
270,0.16,11,1.31,0.17,3.3511,1.12,2.7,3
271,0.31,11,1.31,0.17,3.3502,1.12,2.7,3
272,0.32,11,1.31,0.17,3.3497,1.12,2.7,3
273,0.35,11,1.31,0.17,3.3499,1.12,2.7,3
274,0.36,11,1.31,0.17,3.3497,1.12,2.7,3
