timestamp,left_gaze,right_gaze
2025-03-29 16:46:13.718274,Uncertain,Uncertain
2025-03-29 16:46:13.750834,Uncertain,Uncertain
2025-03-29 16:46:13.785333,Uncertain,Uncertain
2025-03-29 16:46:13.818368,Uncertain,Uncertain
2025-03-29 16:46:13.851037,Uncertain,Uncertain
2025-03-29 16:46:13.885060,Uncertain,Uncertain
2025-03-29 16:46:13.917499,Uncertain,Uncertain
2025-03-29 16:46:13.950751,Uncertain,Uncertain
2025-03-29 16:46:13.984200,Uncertain,Uncertain
2025-03-29 16:46:14.017938,Uncertain,Uncertain
2025-03-29 16:46:14.050460,Uncertain,Uncertain
2025-03-29 16:46:14.085262,Uncertain,Uncertain
2025-03-29 16:46:14.118675,Uncertain,Uncertain
2025-03-29 16:46:14.151973,Uncertain,Uncertain
2025-03-29 16:46:14.185310,Uncertain,Uncertain
2025-03-29 16:46:14.218703,Uncertain,Uncertain
2025-03-29 16:46:14.251528,Uncertain,Uncertain
2025-03-29 16:46:14.285037,Uncertain,Uncertain
2025-03-29 16:46:14.316610,Uncertain,Uncertain
2025-03-29 16:46:14.351595,Uncertain,Uncertain
2025-03-29 16:46:14.384349,Uncertain,Uncertain
2025-03-29 16:46:14.417856,Uncertain,Uncertain
2025-03-29 16:46:14.451946,Uncertain,Uncertain
2025-03-29 16:46:14.483865,Uncertain,Uncertain
2025-03-29 16:46:14.518390,Uncertain,Uncertain
2025-03-29 16:46:14.551560,Uncertain,Uncertain
2025-03-29 16:46:14.584771,Uncertain,Uncertain
2025-03-29 16:46:14.617105,Uncertain,Uncertain
2025-03-29 16:46:14.651393,Uncertain,Uncertain
2025-03-29 16:46:14.684518,Uncertain,Uncertain
2025-03-29 16:46:14.717016,Uncertain,Uncertain
2025-03-29 16:46:14.751266,Uncertain,Uncertain
2025-03-29 16:46:14.784845,Uncertain,Uncertain
2025-03-29 16:46:14.817429,Uncertain,Uncertain
2025-03-29 16:46:14.851456,Uncertain,Uncertain
2025-03-29 16:46:14.884655,Uncertain,Uncertain
2025-03-29 16:46:14.917432,Uncertain,Uncertain
2025-03-29 16:46:14.950497,Uncertain,Uncertain
2025-03-29 16:46:14.984467,Uncertain,Uncertain
2025-03-29 16:46:15.017678,Uncertain,Uncertain
2025-03-29 16:46:15.049460,Uncertain,Uncertain
2025-03-29 16:46:15.084262,Uncertain,Uncertain
2025-03-29 16:46:15.118107,Uncertain,Uncertain
2025-03-29 16:46:15.149502,Uncertain,Uncertain
2025-03-29 16:46:15.184152,Uncertain,Uncertain
2025-03-29 16:46:15.217923,Uncertain,Uncertain
2025-03-29 16:46:15.251099,Uncertain,Uncertain
2025-03-29 16:46:15.284616,Uncertain,Uncertain
2025-03-29 16:46:15.317760,Uncertain,Uncertain
2025-03-29 16:46:15.349926,Uncertain,Uncertain
2025-03-29 16:46:15.384002,Uncertain,Uncertain
2025-03-29 16:46:15.417307,Uncertain,Uncertain
2025-03-29 16:46:15.450561,Uncertain,Uncertain
2025-03-29 16:46:15.483861,Uncertain,Uncertain
2025-03-29 16:46:15.515959,Uncertain,Uncertain
2025-03-29 16:46:15.550833,Uncertain,Uncertain
2025-03-29 16:46:15.583896,Uncertain,Uncertain
2025-03-29 16:46:15.617227,Uncertain,Uncertain
2025-03-29 16:46:15.650812,Uncertain,Uncertain
2025-03-29 16:46:15.683755,Uncertain,Uncertain
2025-03-29 16:46:15.717847,Uncertain,Uncertain
2025-03-29 16:46:15.750470,Uncertain,Uncertain
2025-03-29 16:46:15.783637,Uncertain,Uncertain
2025-03-29 16:46:15.817144,Uncertain,Uncertain
2025-03-29 16:46:15.850800,Uncertain,Uncertain
2025-03-29 16:46:15.883935,Uncertain,Uncertain
2025-03-29 16:46:15.917673,Uncertain,Uncertain
2025-03-29 16:46:15.950386,Uncertain,Uncertain
2025-03-29 16:46:15.984135,Uncertain,Uncertain
2025-03-29 16:46:16.016103,Uncertain,Uncertain
2025-03-29 16:46:16.051179,Uncertain,Uncertain
2025-03-29 16:46:16.082532,Uncertain,Uncertain
2025-03-29 16:46:16.117425,Uncertain,Uncertain
2025-03-29 16:46:16.150072,Uncertain,Uncertain
2025-03-29 16:46:16.183778,Uncertain,Uncertain
2025-03-29 16:46:16.217115,Uncertain,Uncertain
2025-03-29 16:46:16.250539,Uncertain,Uncertain
2025-03-29 16:46:16.283807,Uncertain,Uncertain
2025-03-29 16:46:16.317124,Uncertain,Uncertain
2025-03-29 16:46:16.350274,Uncertain,Uncertain
2025-03-29 16:46:16.383933,Uncertain,Uncertain
2025-03-29 16:46:16.416927,Uncertain,Uncertain
2025-03-29 16:46:16.450697,Uncertain,Uncertain
2025-03-29 16:46:16.483688,Uncertain,Uncertain
2025-03-29 16:46:16.517352,Uncertain,Uncertain
2025-03-29 16:46:16.550152,Uncertain,Uncertain
2025-03-29 16:46:16.583714,Uncertain,Uncertain
2025-03-29 16:46:16.617041,Uncertain,Uncertain
2025-03-29 16:46:16.650167,Uncertain,Uncertain
2025-03-29 16:46:16.683506,Uncertain,Uncertain
2025-03-29 16:46:16.717209,Uncertain,Uncertain
2025-03-29 16:46:16.750136,Uncertain,Uncertain
2025-03-29 16:46:16.783698,Uncertain,Uncertain
2025-03-29 16:46:16.816376,Uncertain,Uncertain
2025-03-29 16:46:16.850281,Uncertain,Uncertain
2025-03-29 16:46:16.883447,Uncertain,Uncertain
2025-03-29 16:46:16.916543,Uncertain,Uncertain
2025-03-29 16:46:16.950421,Uncertain,Uncertain
2025-03-29 16:46:16.983654,Uncertain,Uncertain
2025-03-29 16:46:17.016925,Uncertain,Uncertain
2025-03-29 16:46:17.049752,Uncertain,Uncertain
2025-03-29 16:46:17.083146,Uncertain,Uncertain
2025-03-29 16:46:17.116638,Uncertain,Uncertain
2025-03-29 16:46:17.149896,Uncertain,Uncertain
2025-03-29 16:46:17.183785,Uncertain,Uncertain
2025-03-29 16:46:17.216326,Uncertain,Uncertain
2025-03-29 16:46:17.250373,Uncertain,Uncertain
2025-03-29 16:46:17.282930,Uncertain,Uncertain
2025-03-29 16:46:17.316501,Uncertain,Uncertain
2025-03-29 16:46:17.349932,Uncertain,Uncertain
2025-03-29 16:46:17.383310,Uncertain,Uncertain
2025-03-29 16:46:17.416355,Uncertain,Uncertain
2025-03-29 16:46:17.450160,Uncertain,Uncertain
2025-03-29 16:46:17.483516,Uncertain,Uncertain
2025-03-29 16:46:17.516533,Uncertain,Uncertain
2025-03-29 16:46:17.550044,Uncertain,Uncertain
2025-03-29 16:46:17.583538,Uncertain,Uncertain
2025-03-29 16:46:17.616818,Uncertain,Uncertain
2025-03-29 16:46:17.650010,Uncertain,Uncertain
2025-03-29 16:46:17.683259,Uncertain,Uncertain
2025-03-29 16:46:17.716688,Uncertain,Uncertain
2025-03-29 16:46:17.750011,Uncertain,Uncertain
2025-03-29 16:46:17.783396,Uncertain,Uncertain
2025-03-29 16:46:17.816680,Uncertain,Uncertain
2025-03-29 16:46:17.850322,Uncertain,Uncertain
2025-03-29 16:46:17.883183,Uncertain,Uncertain
2025-03-29 16:46:17.916708,Uncertain,Uncertain
2025-03-29 16:46:17.950011,Uncertain,Uncertain
2025-03-29 16:46:17.983453,Uncertain,Uncertain
2025-03-29 16:46:18.016317,Uncertain,Uncertain
2025-03-29 16:46:18.049742,Uncertain,Uncertain
2025-03-29 16:46:18.083366,Uncertain,Uncertain
2025-03-29 16:46:18.116494,Uncertain,Uncertain
2025-03-29 16:46:18.149510,Uncertain,Uncertain
2025-03-29 16:46:18.183139,Uncertain,Uncertain
2025-03-29 16:46:18.216480,Uncertain,Uncertain
2025-03-29 16:46:18.249718,Uncertain,Uncertain
2025-03-29 16:46:18.283204,Uncertain,Uncertain
2025-03-29 16:46:18.316600,Uncertain,Uncertain
2025-03-29 16:46:18.350200,Uncertain,Uncertain
2025-03-29 16:46:18.382151,Uncertain,Uncertain
2025-03-29 16:46:18.416172,Uncertain,Uncertain
2025-03-29 16:46:18.449645,Uncertain,Uncertain
2025-03-29 16:46:18.482946,Uncertain,Uncertain
2025-03-29 16:46:18.516225,Uncertain,Uncertain
2025-03-29 16:46:18.549858,Uncertain,Uncertain
2025-03-29 16:46:18.583246,Uncertain,Uncertain
2025-03-29 16:46:18.616395,Uncertain,Uncertain
2025-03-29 16:46:18.650122,Uncertain,Uncertain
2025-03-29 16:46:18.682953,Uncertain,Uncertain
2025-03-29 16:46:18.716434,Uncertain,Uncertain
2025-03-29 16:46:18.749252,Uncertain,Uncertain
2025-03-29 16:46:18.783595,Uncertain,Uncertain
2025-03-29 16:46:18.816505,Uncertain,Uncertain
2025-03-29 16:46:18.849664,Uncertain,Uncertain
2025-03-29 16:46:18.882771,Uncertain,Uncertain
2025-03-29 16:46:18.914349,Uncertain,Uncertain
2025-03-29 16:46:18.949290,Uncertain,Uncertain
2025-03-29 16:46:18.982950,Uncertain,Uncertain
2025-03-29 16:46:19.016059,Uncertain,Uncertain
2025-03-29 16:46:19.049513,Uncertain,Uncertain
2025-03-29 16:46:19.082436,Uncertain,Uncertain
2025-03-29 16:46:19.115855,Uncertain,Uncertain
2025-03-29 16:46:19.149033,Uncertain,Uncertain
2025-03-29 16:46:19.182920,Uncertain,Uncertain
2025-03-29 16:46:19.215829,Uncertain,Uncertain
2025-03-29 16:46:19.249719,Uncertain,Uncertain
2025-03-29 16:46:19.282710,Uncertain,Uncertain
2025-03-29 16:46:19.316136,Uncertain,Uncertain
2025-03-29 16:46:19.349239,Uncertain,Uncertain
2025-03-29 16:46:19.381306,Uncertain,Uncertain
2025-03-29 16:46:19.416055,Uncertain,Uncertain
2025-03-29 16:46:19.449435,Uncertain,Uncertain
2025-03-29 16:46:19.482970,Uncertain,Uncertain
2025-03-29 16:46:19.516607,Uncertain,Uncertain
2025-03-29 16:46:19.549735,Uncertain,Uncertain
2025-03-29 16:46:19.582618,Uncertain,Uncertain
2025-03-29 16:46:19.615803,Uncertain,Uncertain
2025-03-29 16:46:19.649499,Uncertain,Uncertain
2025-03-29 16:46:19.919264,Uncertain,Uncertain
2025-03-29 16:46:19.949301,Uncertain,Uncertain
2025-03-29 16:46:20.555104,Uncertain,Left
2025-03-29 16:46:20.653720,Uncertain,Uncertain
2025-03-29 16:46:20.683846,Uncertain,Uncertain
2025-03-29 16:46:20.716886,Uncertain,Uncertain
2025-03-29 16:46:20.748891,Uncertain,Uncertain
2025-03-29 16:46:20.782215,Uncertain,Uncertain
2025-03-29 16:46:20.815526,Uncertain,Uncertain
2025-03-29 16:46:20.848764,Uncertain,Uncertain
2025-03-29 16:46:20.882344,Uncertain,Uncertain
2025-03-29 16:46:20.915691,Uncertain,Uncertain
2025-03-29 16:46:20.949049,Uncertain,Uncertain
2025-03-29 16:46:20.981194,Uncertain,Uncertain
2025-03-29 16:46:21.015611,Uncertain,Uncertain
2025-03-29 16:46:21.048833,Uncertain,Uncertain
2025-03-29 16:46:21.082030,Uncertain,Uncertain
2025-03-29 16:46:21.115752,Uncertain,Uncertain
2025-03-29 16:46:21.148980,Uncertain,Uncertain
2025-03-29 16:46:21.182570,Uncertain,Uncertain
2025-03-29 16:46:21.215439,Uncertain,Uncertain
2025-03-29 16:46:21.248508,Uncertain,Uncertain
2025-03-29 16:46:21.282370,Uncertain,Uncertain
2025-03-29 16:46:21.315700,Uncertain,Uncertain
2025-03-29 16:46:21.348785,Uncertain,Uncertain
2025-03-29 16:46:21.382465,Uncertain,Uncertain
2025-03-29 16:46:21.415590,Uncertain,Uncertain
2025-03-29 16:46:21.448837,Uncertain,Uncertain
2025-03-29 16:46:21.481927,Left,Uncertain
2025-03-29 16:46:21.515708,Uncertain,Uncertain
2025-03-29 16:46:21.548873,Uncertain,Uncertain
2025-03-29 16:46:21.582249,Uncertain,Uncertain
2025-03-29 16:46:21.615518,Center,Uncertain
2025-03-29 16:46:22.354861,Left,Uncertain
2025-03-29 16:46:22.383820,Uncertain,Uncertain
2025-03-29 16:46:22.414744,Center,Uncertain
2025-03-29 16:46:22.754342,Center,Center
2025-03-29 16:46:22.784157,Uncertain,Uncertain
2025-03-29 16:46:22.815972,Uncertain,Uncertain
2025-03-29 16:46:22.849602,Uncertain,Uncertain
2025-03-29 16:46:22.882707,Uncertain,Uncertain
2025-03-29 16:46:22.915074,Uncertain,Uncertain
2025-03-29 16:46:22.948582,Uncertain,Uncertain
2025-03-29 16:46:22.981892,Uncertain,Uncertain
2025-03-29 16:46:23.013678,Uncertain,Uncertain
2025-03-29 16:46:23.048226,Uncertain,Uncertain
2025-03-29 16:46:23.080942,Uncertain,Uncertain
2025-03-29 16:46:23.114641,Uncertain,Uncertain
2025-03-29 16:46:23.147462,Uncertain,Uncertain
2025-03-29 16:46:23.181438,Uncertain,Uncertain
2025-03-29 16:46:23.214288,Uncertain,Uncertain
2025-03-29 16:46:23.247453,Uncertain,Uncertain
2025-03-29 16:46:23.281245,Uncertain,Uncertain
2025-03-29 16:46:23.313762,Uncertain,Uncertain
2025-03-29 16:46:23.347752,Uncertain,Uncertain
2025-03-29 16:46:23.380587,Uncertain,Uncertain
2025-03-29 16:46:23.413287,Uncertain,Uncertain
2025-03-29 16:46:23.448845,Uncertain,Uncertain
2025-03-29 16:46:23.480996,Uncertain,Uncertain
2025-03-29 16:46:23.514497,Uncertain,Uncertain
2025-03-29 16:46:23.547618,Uncertain,Uncertain
2025-03-29 16:46:23.581087,Uncertain,Uncertain
2025-03-29 16:46:23.613741,Uncertain,Uncertain
2025-03-29 16:46:23.647476,Uncertain,Uncertain
2025-03-29 16:46:23.681115,Uncertain,Uncertain
2025-03-29 16:46:23.713454,Uncertain,Uncertain
2025-03-29 16:46:23.748630,Uncertain,Uncertain
2025-03-29 16:46:23.780917,Uncertain,Uncertain
2025-03-29 16:46:23.814260,Uncertain,Uncertain
